Title,ArticlesCount,isExtracted
Moroccan Arabic adjectives,1655,True
Moroccan Arabic adjective forms,129,True
Moroccan Arabic adjective plural forms,14,True
Moroccan Arabic adverbs,18,True
Moroccan Arabic demonstrative adverbs,97,True
Moroccan Arabic interrogative adverbs,6,True
Moroccan Arabic location adverbs,1,True
Moroccan Arabic conjunctions,7,True
Moroccan Arabic determiners,17,True
Moroccan Arabic interjections,10,True
Moroccan Arabic terms derived from participles,6,True
Moroccan Arabic terms derived from passive participles,3,True
Moroccan Arabic morphemes,4,True
Moroccan Arabic terms suffixed with ي,1,True
Moroccan Arabic terms suffixed with ي (nisba),3,True
Moroccan Arabic terms suffixed with ي (nisba),1,True
Moroccan Arabic multiword terms,1,True
Moroccan Arabic nouns,108,True
Moroccan Arabic noun forms,1012,True
Moroccan Arabic noun dual forms,3,True
Moroccan Arabic noun paucal forms,1,True
Moroccan Arabic noun plural forms,3,True
Moroccan Arabic collective nouns,62,True
Moroccan Arabic nouns by derivation type,96,True
Moroccan Arabic relative nouns (nisba),1,True
Moroccan Arabic diminutive nouns,1,True
Moroccan Arabic nouns by gender,5,True
Moroccan Arabic terms with multiple genders,435,True
Moroccan Arabic masculine nouns,32,True
Moroccan Arabic terms with multiple genders,609,True
Moroccan Arabic nouns with multiple genders,32,True
Moroccan Arabic terms with multiple genders,3,True
Moroccan Arabic nouns with other-gender equivalents,32,True
Moroccan Arabic pluralia tantum,9,True
Moroccan Arabic proper nouns,9,True
Moroccan Arabic singulative nouns,31,True
Moroccan Arabic uncountable nouns,13,True
Moroccan Arabic verbal nouns,36,True
Moroccan Arabic numerals,30,True
Moroccan Arabic particles,63,True
Moroccan Arabic interrogative particles,8,True
Moroccan Arabic phrases,1,True
Moroccan Arabic phrasebook,5,True
Moroccan Arabic prepositional phrases,8,True
Moroccan Arabic proverbs,2,True
Moroccan Arabic prepositions,5,True
Moroccan Arabic prepositional phrases,22,True
Moroccan Arabic pronouns,2,True
Moroccan Arabic verbs,24,True
Moroccan Arabic verb forms,347,True
Moroccan Arabic participles,169,True
Moroccan Arabic active participles,13,True
Moroccan Arabic passive participles,9,True
Moroccan Arabic denominal verbs,5,True
Moroccan Arabic ditransitive verbs,6,True
Moroccan Arabic verbs by inflection type,6,True
Moroccan Arabic form-Iq verbs,181,True
Moroccan Arabic form-II verbs,20,True
Moroccan Arabic form-IIq verbs,123,True
Moroccan Arabic form-III verbs,3,True
Moroccan Arabic form-V verbs,18,True
Moroccan Arabic form-VI verbs,14,True
Moroccan Arabic form-VIII verbs,6,True
Moroccan Arabic form-X verbs,3,True
Moroccan Arabic form-XI verbs,6,True
Moroccan Arabic verbs with quadriliteral roots,2,True
Moroccan Arabic form-IIq verbs,20,True
Moroccan Arabic intransitive verbs,3,True
Moroccan Arabic verbs lacking forms,36,True
